ad_id,ad_text,landing_page_claim,market,language,industry_vertical,policy_category,risk_level,advertiser_tier,golden_label,human_label,llm_label,llm_confidence_score,error_type,appeal_submitted,appeal_result,why_it_matters,recommended_action
AD02302,The only product that truly delivers on its promise,Rates may vary by eligibility,BR,Portuguese,Health and Wellness,Misleading Claim,high,mid_market,approved_limited,approved_limited,approved,0.897,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03588,Free product trial — no card required — act fast,Subscription renews monthly,DE,German,Health and Wellness,Scam or Suspicious Offer,high,small_business,rejected,rejected,approved,0.914,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00182,Exclusive offer — see our website for full details,Rates may vary by eligibility,MX,Spanish,Education,Landing Page Issue,high,small_business,rejected,rejected,approved,0.822,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04145,Community forum for policy discussions,Terms and conditions apply,DE,German,Travel,Political or Sensitive Content,high,mid_market,rejected,rejected,approved,0.889,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04163,Scientifically proven to work in just one week,Results depend on individual use,BR,Portuguese,Finance,Misleading Claim,high,small_business,approved_limited,approved_limited,approved,0.878,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00023,Support your energy levels with our daily capsules,Results depend on individual use,MX,Spanish,Beauty,Health Claim,high,strategic_account,approved_limited,approved_limited,approved,0.903,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01263,Scientifically proven to work in just one week,Results depend on individual use,US,English,Retail,Misleading Claim,high,small_business,approved_limited,approved_limited,approved,0.928,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04434,Find the best savings rate for your goals,Subject to regulatory approval,US,English,Gaming,Financial Product Claim,high,mid_market,approved_limited,approved_limited,approved,0.861,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03780,Engage with your local elected representatives,Promotional pricing for new customers only,MX,Spanish,Beauty,Political or Sensitive Content,high,small_business,approved_limited,approved_limited,approved,0.819,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01555,Fast approval personal loans — apply today,Free trial followed by monthly subscription,UK,English,Health and Wellness,Financial Product Claim,high,small_business,approved_limited,approved_limited,approved,0.911,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01256,Compare mortgage options across top lenders,Pricing subject to change,BR,Portuguese,Beauty,Financial Product Claim,high,enterprise,rejected,rejected,approved,0.955,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04521,Compare flexible loan options in minutes,Clinically inspired formula,FR,French,Education,Financial Product Claim,high,mid_market,escalated,rejected,approved,0.259,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01483,Support your energy levels with our daily capsules,Results depend on individual use,ES,Spanish,Retail,Health Claim,high,enterprise,approved_limited,approved_limited,approved,0.956,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03875,Community forum for policy discussions,Free trial followed by monthly subscription,MX,Spanish,Mobile Apps,Political or Sensitive Content,high,mid_market,approved_limited,approved_limited,approved,0.929,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00974,Register to participate in local elections,Subject to regulatory approval,MX,Spanish,Health and Wellness,Political or Sensitive Content,high,small_business,escalated,escalated,approved,0.874,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00961,Win a free gift card after completing a quick survey,Clinically inspired formula,DE,German,Health and Wellness,Scam or Suspicious Offer,high,small_business,rejected,rejected,approved,0.779,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03859,Offer subject to eligibility — check website,Standard delivery times apply,IT,Italian,Beauty,Landing Page Issue,high,mid_market,escalated,escalated,approved,0.921,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03646,Support awareness for human rights education,Limited availability,BR,Portuguese,Food and Beverage,Political or Sensitive Content,high,small_business,approved_limited,approved_limited,approved,0.938,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01042,Join the conversation about fair representation,Rates may vary by eligibility,IT,Italian,Retail,Political or Sensitive Content,high,strategic_account,approved_limited,approved_limited,approved,0.43,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00763,Support your energy levels with our daily capsules,Results depend on individual use,FR,French,Gaming,Health Claim,high,small_business,escalated,escalated,approved,0.873,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01048,Free product trial — no card required — act fast,Subscription renews monthly,BR,Portuguese,Gaming,Scam or Suspicious Offer,high,small_business,rejected,rejected,approved,0.899,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02530,Formulated to support healthy joints and mobility,Product information updated regularly,ES,Spanish,Beauty,Health Claim,high,mid_market,approved_limited,approved_limited,approved,0.864,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03002,The only product that truly delivers on its promise,Rates may vary by eligibility,ES,Spanish,Travel,Misleading Claim,high,strategic_account,approved_limited,approved_limited,approved,0.902,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02568,Wellness supplements crafted from natural extracts,Subscription renews monthly,FR,French,Beauty,Health Claim,high,enterprise,approved_limited,approved_limited,approved,0.94,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03047,Premium vitamins developed with nutrition experts,Customer testimonials shown,DE,German,Education,Health Claim,high,mid_market,approved_limited,approved_limited,approved,0.952,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00500,Formulated to support healthy joints and mobility,Promotional pricing for new customers only,DE,German,Retail,Health Claim,high,mid_market,approved_limited,approved_limited,approved,0.854,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02213,Apply for a business credit line with no hidden fees,Age verification required,BR,Portuguese,Health and Wellness,Financial Product Claim,high,strategic_account,approved_limited,approved_limited,approved,0.951,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01834,Plant-based ingredients for a balanced lifestyle,Subject to regulatory approval,UK,English,Gaming,Health Claim,high,small_business,approved_limited,approved_limited,approved,0.919,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04299,Refinance your loan and lower your monthly payment,Standard delivery times apply,DE,German,Finance,Financial Product Claim,high,mid_market,escalated,rejected,approved,0.331,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01971,Support our movement for local community change,Individual results may vary,US,English,Mobile Apps,Political or Sensitive Content,high,small_business,escalated,escalated,approved,0.917,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04205,Outperforms every competitor in independent tests,Terms and conditions apply,IT,Italian,Mobile Apps,Misleading Claim,high,small_business,rejected,rejected,approved,0.896,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02337,Sports betting — new member welcome offer,Not available in all regions,BR,Portuguese,Health and Wellness,Restricted Product,high,mid_market,rejected,rejected,approved,0.913,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01643,Claim your free device — only 3 slots remaining,Results depend on individual use,DE,German,Retail,Scam or Suspicious Offer,high,mid_market,rejected,rejected,approved,0.949,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04390,Credit options tailored to your financial situation,Product information updated regularly,ES,Spanish,Finance,Financial Product Claim,high,enterprise,approved_limited,approved_limited,approved,0.905,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02375,Daily nutrition designed for active adults,Free trial followed by monthly subscription,US,English,E-commerce,Health Claim,high,mid_market,approved_limited,approved_limited,approved,0.946,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04653,Apply for a business credit line with no hidden fees,Age verification required,UK,English,Health and Wellness,Financial Product Claim,high,mid_market,rejected,rejected,approved,0.312,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00130,Credit options tailored to your financial situation,Product information updated regularly,ES,Spanish,Travel,Financial Product Claim,high,enterprise,approved_limited,approved_limited,escalated,0.886,over_rejection,True,reversed,LLM over-rejected a safe or low-risk ad — causes unnecessary advertiser friction and potential revenue loss.,Review policy threshold calibration — reduce false rejection rate.
AD03951,Results guaranteed or full refund — no questions asked,Individual results may vary,DE,German,Retail,Misleading Claim,high,enterprise,approved_limited,approved_limited,rejected,0.908,over_rejection,True,reversed,LLM over-rejected a safe or low-risk ad — causes unnecessary advertiser friction and potential revenue loss.,Review policy threshold calibration — reduce false rejection rate.
AD04259,Boost your morning routine with our daily blend,Standard delivery times apply,MX,Spanish,Education,Health Claim,high,mid_market,rejected,rejected,approved_limited,0.954,claim_substantiation_issue,True,reversed,LLM failed to identify an unsubstantiated claim in a regulated category.,Flag for policy team — update claim substantiation guidelines.
AD04260,Stop wasting money — our solution pays for itself,Promotional pricing for new customers only,US,English,Mobile Apps,Misleading Claim,high,enterprise,rejected,rejected,approved_limited,0.896,policy_risk_miss,True,reversed,LLM missed a policy violation — risky ad may have been served without appropriate restriction.,Add to model training set — policy violation missed by model.
AD02814,Independent reviews of popular consumer products,Subject to regulatory approval,FR,French,Education,Brand Safety Risk,high,enterprise,approved_limited,approved,approved,0.524,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00303,Lingerie and intimate wear — discreet delivery,Results depend on individual use,DE,German,Food and Beverage,Adult or Suggestive Content,high,small_business,rejected,rejected,approved,0.491,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02681,"Unbranded alternatives — same quality, lower price",Clinically inspired formula,BR,Portuguese,Gaming,Brand Safety Risk,high,mid_market,rejected,rejected,approved,0.262,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02605,Daily nutrition designed for active adults,Terms and conditions apply,FR,French,Travel,Health Claim,high,mid_market,approved_limited,rejected,approved,0.479,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02606,You are the lucky visitor — collect your voucher,Limited availability,UK,English,Retail,Scam or Suspicious Offer,high,mid_market,rejected,escalated,approved,0.362,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02627,Non-profit initiative for fair public services,Customer testimonials shown,ES,Spanish,Gaming,Political or Sensitive Content,high,enterprise,approved_limited,approved,approved,0.357,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04960,Stop wasting money — our solution pays for itself,Promotional pricing for new customers only,IT,Italian,Gaming,Misleading Claim,high,small_business,approved_limited,approved_limited,approved,0.442,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02892,Low-interest personal finance solutions available now,Offer valid while stocks last,MX,Spanish,Beauty,Financial Product Claim,high,small_business,rejected,approved,approved,0.557,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02877,Open a savings account and start earning today,Not available in all regions,US,English,Finance,Financial Product Claim,high,strategic_account,escalated,escalated,approved,0.355,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00006,Support awareness for human rights education,Limited availability,MX,Spanish,Finance,Political or Sensitive Content,high,small_business,approved_limited,approved_limited,approved,0.393,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04975,Community forum for policy discussions,Free trial followed by monthly subscription,ES,Spanish,Education,Political or Sensitive Content,high,mid_market,escalated,escalated,approved,0.379,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04891,Compare flexible loan options in minutes,Individual results may vary,UK,English,Mobile Apps,Financial Product Claim,high,mid_market,approved_limited,approved_limited,approved,0.581,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04920,Stop wasting money — our solution pays for itself,Promotional pricing for new customers only,US,English,Health and Wellness,Misleading Claim,high,mid_market,approved_limited,approved_limited,approved,0.573,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02859,Offer subject to eligibility — check website,Standard delivery times apply,IT,Italian,Food and Beverage,Landing Page Issue,medium,mid_market,approved_limited,rejected,approved,0.886,landing_page_mismatch,True,reversed,LLM decision did not reflect a policy issue visible only on the landing page.,Add to model training set — improve landing page signal detection.
AD02757,Sports betting — new member welcome offer,Not available in all regions,BR,Portuguese,Health and Wellness,Restricted Product,high,enterprise,escalated,approved,approved,0.327,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02739,Trusted by experts — see why customers switch,Standard delivery times apply,IT,Italian,Travel,Misleading Claim,high,enterprise,escalated,approved_limited,approved,0.296,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00493,Civic engagement platform — your voice matters,Age verification required,IT,Italian,Retail,Political or Sensitive Content,high,small_business,approved_limited,approved_limited,approved,0.512,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00454,Register to participate in local elections,Subject to regulatory approval,UK,English,Food and Beverage,Political or Sensitive Content,high,mid_market,escalated,escalated,approved,0.462,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00578,Pricing varies — visit site for accurate information,Professional advice recommended,ES,Spanish,Gaming,Landing Page Issue,high,enterprise,approved_limited,approved_limited,approved,0.42,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00581,Compare flexible loan options in minutes,Clinically inspired formula,DE,German,Health and Wellness,Financial Product Claim,high,mid_market,approved_limited,approved_limited,approved,0.433,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00585,Click to reveal your personalized offer,Terms and conditions apply,MX,Spanish,Travel,Landing Page Issue,high,mid_market,rejected,rejected,approved,0.551,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00659,Trusted by experts — see why customers switch,Standard delivery times apply,ES,Spanish,Health and Wellness,Misleading Claim,high,enterprise,rejected,rejected,approved,0.512,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03839,Congratulations — you qualify for a special offer,Standard delivery times apply,BR,Portuguese,Travel,Scam or Suspicious Offer,high,mid_market,rejected,rejected,approved,0.365,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03989,Switch and save — see how alternatives stack up,Check local rules before applying,MX,Spanish,Health and Wellness,Brand Safety Risk,high,mid_market,escalated,escalated,approved,0.506,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03976,Compare mortgage options across top lenders,Pricing subject to change,UK,English,Health and Wellness,Financial Product Claim,high,enterprise,approved_limited,approved_limited,approved,0.331,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03845,Fast approval personal loans — apply today,Terms and conditions apply,MX,Spanish,Retail,Financial Product Claim,high,mid_market,approved_limited,approved_limited,approved,0.395,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00327,Open a savings account and start earning today,Customer testimonials shown,BR,Portuguese,Travel,Financial Product Claim,medium,enterprise,approved,rejected,rejected,0.954,over_rejection,True,reversed,LLM over-rejected a safe or low-risk ad — causes unnecessary advertiser friction and potential revenue loss.,Review policy threshold calibration — reduce false rejection rate.
AD04477,Exclusive offer — act now or lose your spot,Not available in all regions,DE,German,Retail,Scam or Suspicious Offer,high,small_business,rejected,rejected,approved,0.307,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04461,"Unbranded alternatives — same quality, lower price",Clinically inspired formula,DE,German,Health and Wellness,Brand Safety Risk,high,strategic_account,approved_limited,approved_limited,approved,0.369,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03138,No-fee investment accounts for new members,Professional advice recommended,FR,French,Gaming,Financial Product Claim,high,small_business,rejected,approved_limited,approved,0.326,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD04491,"Unbranded alternatives — same quality, lower price",Individual results may vary,DE,German,E-commerce,Brand Safety Risk,high,mid_market,approved_limited,approved_limited,approved,0.481,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03738,Tobacco accessories shop — ID verification required,Professional advice recommended,IT,Italian,Health and Wellness,Restricted Product,high,mid_market,approved_limited,rejected,approved,0.321,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03717,Open a savings account and start earning today,Not available in all regions,IT,Italian,E-commerce,Financial Product Claim,high,mid_market,approved_limited,rejected,approved,0.424,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03114,Age-verified adult subscription platform,Subject to regulatory approval,IT,Italian,Finance,Restricted Product,high,small_business,approved_limited,approved_limited,approved,0.329,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00916,Regulated gambling platform — play responsibly,Pricing subject to change,MX,Spanish,Health and Wellness,Restricted Product,high,small_business,rejected,rejected,approved,0.363,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01021,"Unbranded alternatives — same quality, lower price",Clinically inspired formula,MX,Spanish,Beauty,Brand Safety Risk,high,mid_market,approved_limited,rejected,approved,0.358,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03647,Premium vitamins developed with nutrition experts,Customer testimonials shown,US,English,E-commerce,Health Claim,high,small_business,rejected,rejected,approved,0.411,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03914,Register to participate in local elections,Subject to regulatory approval,US,English,Food and Beverage,Political or Sensitive Content,high,strategic_account,approved_limited,approved_limited,approved,0.331,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03868,One simple approach to improve your outcomes fast,Subscription renews monthly,UK,English,Education,Misleading Claim,high,mid_market,rejected,rejected,approved,0.348,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00723,Support your energy levels with our daily capsules,Results depend on individual use,FR,French,Travel,Health Claim,high,mid_market,rejected,rejected,approved,0.512,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03017,Open a savings account and start earning today,Not available in all regions,MX,Spanish,Mobile Apps,Financial Product Claim,high,mid_market,approved_limited,approved_limited,approved,0.34,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01044,Find the best savings rate for your goals,No purchase required,IT,Italian,Food and Beverage,Financial Product Claim,high,small_business,approved_limited,approved_limited,approved,0.503,high_risk_approval_miss,True,upheld,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03675,Enter your details to unlock your mystery reward,Free trial followed by monthly subscription,BR,Portuguese,Mobile Apps,Scam or Suspicious Offer,high,strategic_account,rejected,rejected,approved,0.263,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00743,Apply for a business credit line with no hidden fees,Results depend on individual use,BR,Portuguese,Mobile Apps,Financial Product Claim,high,strategic_account,escalated,rejected,approved,0.397,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01212,Clinically inspired formula for daily wellness,Offer valid while stocks last,BR,Portuguese,Health and Wellness,Health Claim,high,mid_market,approved_limited,approved_limited,approved,0.538,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00771,Results guaranteed or full refund — no questions asked,Individual results may vary,UK,English,Beauty,Misleading Claim,high,small_business,approved_limited,approved_limited,approved,0.392,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
