ad_id,created_date,market,language,ad_format,industry_vertical,advertiser_tier,campaign_objective,policy_category,risk_level,ad_text,landing_page_claim,golden_label,human_label,llm_label,llm_confidence_score,human_confidence_score,review_time_seconds,appeal_submitted,appeal_result,bpo_team,reviewer_tenure,error_type,is_llm_correct,is_human_correct,is_human_ai_agreement,is_advertiser_over_rejection,is_policy_risk_miss,is_low_confidence_case,is_high_risk_approval_miss,recommended_action,llm_severity_score,golden_severity_score,human_severity_score,is_policy_ambiguous,is_appeal_reversed
AD00011,2024-06-14,US,English,Display Ad,E-commerce,small_business,Sales,Adult or Suggestive Content,high,Meet new people near you — dating app for adults,Individual results may vary,approved_limited,approved_limited,approved_limited,0.902,0.914,147,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00012,2024-10-22,MX,Spanish,Social Feed Ad,Health and Wellness,small_business,Brand Awareness,Safe Ad,low,New meal delivery plan for busy professionals,Offer valid while stocks last,approved,approved,approved,0.947,0.927,30,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00013,2024-07-03,ES,Spanish,Display Ad,E-commerce,small_business,Conversions,Political or Sensitive Content,high,Civic engagement platform — your voice matters,Age verification required,approved,approved,approved,0.962,0.905,159,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00014,2024-12-21,BR,Portuguese,Social Feed Ad,E-commerce,enterprise,Brand Awareness,Scam or Suspicious Offer,high,Limited slots available — register before midnight,Subject to regulatory approval,rejected,rejected,rejected,0.858,0.926,110,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00015,2024-08-31,DE,German,Search Ad,Finance,mid_market,Traffic,Misleading Claim,low,Outperforms every competitor in independent tests,Free trial followed by monthly subscription,approved,approved,approved,0.911,0.963,58,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00016,2024-08-20,UK,English,Display Ad,Retail,enterprise,Conversions,Health Claim,low,Gentle formula to support digestive comfort,Pricing subject to change,approved,approved,approved,0.923,0.944,84,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00017,2024-07-31,ES,Spanish,Video Ad,Finance,mid_market,Conversions,Adult or Suggestive Content,low,Mature content platform — verified adult access,Not available in all regions,approved_limited,approved_limited,approved_limited,0.901,0.872,44,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00018,2024-03-29,FR,French,Video Ad,Health and Wellness,small_business,Sales,Political or Sensitive Content,high,Advocacy campaign for environmental protection,Professional advice recommended,approved,approved,approved,0.891,0.918,208,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00019,2024-09-30,BR,Portuguese,Social Feed Ad,Travel,small_business,Sales,Landing Page Issue,high,Offer subject to eligibility — check website,Standard delivery times apply,approved,approved,approved,0.915,0.948,128,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00020,2024-03-31,ES,Spanish,Video Ad,E-commerce,small_business,Traffic,Brand Safety Risk,medium,Consumer comparison tool for popular categories,Promotional pricing for new customers only,approved_limited,approved_limited,approved_limited,0.948,0.832,57,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00021,2024-08-12,BR,Portuguese,App Install Ad,Gaming,mid_market,Retargeting,Safe Ad,low,Try our award-winning customer service,Clinically inspired formula,approved,rejected,escalated,0.251,0.536,21,True,upheld,BPO_B,intermediate,over_rejection,False,False,False,True,False,True,False,route_to_human_review,2,0,3,True,False
AD00022,2024-10-17,US,English,Shopping Ad,Food and Beverage,mid_market,Sales,Safe Ad,low,"Join over 500,000 happy customers worldwide",Rates may vary by eligibility,approved,approved,approved,0.885,0.893,47,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00023,2024-06-13,MX,Spanish,Shopping Ad,Beauty,strategic_account,App Installs,Health Claim,high,Support your energy levels with our daily capsules,Results depend on individual use,approved_limited,approved_limited,approved,0.903,0.961,241,False,not_submitted,BPO_B,new,high_risk_approval_miss,False,True,False,False,True,False,True,escalate_to_human_review,0,1,1,False,False
AD00024,2024-12-27,MX,Spanish,Social Feed Ad,Travel,small_business,Conversions,Misleading Claim,medium,Double your savings with our exclusive method,No purchase required,rejected,escalated,rejected,0.848,0.503,112,False,not_submitted,BPO_A,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,3,3,2,False,False
AD00025,2024-02-29,BR,Portuguese,Social Feed Ad,Beauty,mid_market,Lead Generation,Safe Ad,low,Explore thousands of products at unbeatable prices,Terms and conditions apply,approved,approved,escalated,0.422,0.911,30,False,not_submitted,BPO_C,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD00026,2024-03-17,UK,English,Social Feed Ad,Beauty,small_business,Brand Awareness,Restricted Product,high,Regulated gambling platform — play responsibly,Limited availability,approved_limited,approved_limited,approved_limited,0.945,0.928,235,True,upheld,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00027,2024-04-20,DE,German,Video Ad,Beauty,enterprise,Brand Awareness,Restricted Product,high,Sports betting — new member welcome offer,Customer testimonials shown,approved_limited,approved_limited,approved,0.506,0.896,249,False,not_submitted,BPO_D,intermediate,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review,0,1,1,False,False
AD00028,2024-12-20,FR,French,Display Ad,Health and Wellness,small_business,Lead Generation,Financial Product Claim,low,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,rejected,approved_limited,0.868,0.616,51,False,not_submitted,BPO_A,experienced,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,3,False,False
AD00029,2024-07-13,UK,English,Social Feed Ad,E-commerce,mid_market,Traffic,Landing Page Issue,medium,Offer subject to eligibility — check website,Check local rules before applying,approved,approved,escalated,0.503,0.968,169,False,not_submitted,BPO_C,new,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD00030,2024-04-07,IT,Italian,Search Ad,Retail,small_business,Brand Awareness,Restricted Product,low,Adult entertainment content — 18 years and over,Product information updated regularly,rejected,rejected,approved,0.361,0.977,54,True,upheld,BPO_A,experienced,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,0,3,3,False,False
AD00031,2024-12-18,IT,Italian,Search Ad,Retail,small_business,Brand Awareness,Financial Product Claim,medium,Compare flexible loan options in minutes,Individual results may vary,rejected,rejected,rejected,0.926,0.92,143,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00032,2024-05-30,MX,Spanish,Shopping Ad,Health and Wellness,mid_market,Conversions,Scam or Suspicious Offer,high,You have been selected for an exclusive prize,Offer valid while stocks last,rejected,approved_limited,approved_limited,0.805,0.578,189,True,upheld,BPO_D,new,market_nuance_error,False,False,True,False,True,False,False,add_to_model_feedback,1,3,1,False,False
AD00033,2024-04-07,US,English,Search Ad,Retail,small_business,Brand Awareness,Landing Page Issue,medium,Limited time pricing — available on our site only,Age verification required,approved_limited,escalated,approved_limited,0.91,0.49,57,False,not_submitted,BPO_B,experienced,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,2,False,False
AD00034,2024-11-27,US,English,Video Ad,Education,mid_market,App Installs,Health Claim,medium,Plant-based ingredients for a balanced lifestyle,Subject to regulatory approval,approved_limited,approved_limited,approved_limited,0.787,0.932,266,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00035,2024-02-26,DE,German,Social Feed Ad,Travel,small_business,App Installs,Landing Page Issue,medium,Click to reveal your personalized offer,Free trial followed by monthly subscription,rejected,rejected,rejected,0.941,0.9,97,True,reversed,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,True
AD00036,2024-12-17,UK,English,Search Ad,Food and Beverage,strategic_account,Traffic,Adult or Suggestive Content,low,Dating service for singles — create your profile,Pricing subject to change,escalated,escalated,escalated,0.909,0.99,33,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00037,2024-01-17,UK,English,Shopping Ad,Gaming,small_business,Lead Generation,Political or Sensitive Content,medium,Non-profit initiative for fair public services,Not available in all regions,escalated,escalated,escalated,0.958,0.853,80,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00038,2024-07-25,DE,German,Search Ad,Finance,mid_market,Lead Generation,Restricted Product,high,Tobacco accessories shop — ID verification required,Professional advice recommended,rejected,rejected,rejected,0.833,0.92,213,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00039,2024-07-31,UK,English,Shopping Ad,Travel,enterprise,Sales,Financial Product Claim,medium,Refinance your loan and lower your monthly payment,Standard delivery times apply,approved_limited,approved_limited,approved,0.885,0.956,74,True,upheld,BPO_A,intermediate,claim_substantiation_issue,False,True,False,False,True,False,False,add_to_model_feedback,0,1,1,False,False
AD00040,2024-12-12,IT,Italian,Shopping Ad,Food and Beverage,mid_market,Sales,Restricted Product,medium,Adult entertainment content — 18 years and over,Promotional pricing for new customers only,approved_limited,approved,escalated,0.484,0.442,113,False,not_submitted,BPO_D,new,over_rejection,False,False,False,True,False,True,False,route_to_human_review,2,1,0,True,False
AD00041,2024-12-05,DE,German,Display Ad,Education,small_business,Retargeting,Safe Ad,low,This course helps beginners learn data analytics,Clinically inspired formula,approved,approved,approved,0.967,0.907,25,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00042,2024-11-03,BR,Portuguese,Search Ad,Health and Wellness,mid_market,App Installs,Financial Product Claim,low,Low-interest personal finance solutions available now,Rates may vary by eligibility,approved_limited,approved_limited,approved,0.315,0.854,40,False,not_submitted,BPO_E,intermediate,claim_substantiation_issue,False,True,False,False,True,True,False,route_to_human_review,0,1,1,False,False
AD00043,2024-11-30,IT,Italian,Display Ad,Retail,small_business,Lead Generation,Safe Ad,low,Premium beauty bundle with customer reviews,Results depend on individual use,approved_limited,approved,approved_limited,0.968,0.4,24,False,not_submitted,BPO_C,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,0,False,False
AD00044,2024-11-12,US,English,Video Ad,Finance,mid_market,App Installs,Financial Product Claim,low,Find the best savings rate for your goals,No purchase required,approved_limited,approved_limited,approved_limited,0.892,0.976,52,True,upheld,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00045,2024-07-06,BR,Portuguese,Display Ad,Mobile Apps,mid_market,Sales,Political or Sensitive Content,high,Community forum for policy discussions,Terms and conditions apply,approved_limited,escalated,approved,0.891,0.44,314,True,reversed,BPO_D,new,high_risk_approval_miss,False,False,False,False,True,False,True,escalate_to_human_review,0,1,2,True,True
AD00046,2024-11-12,BR,Portuguese,App Install Ad,E-commerce,enterprise,Brand Awareness,Brand Safety Risk,medium,Budget alternatives for expensive branded goods,Limited availability,approved_limited,approved_limited,approved_limited,0.956,0.89,148,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00047,2024-10-08,US,English,Display Ad,Beauty,enterprise,Brand Awareness,Safe Ad,low,Summer sale now on — limited time only,Customer testimonials shown,approved,approved,approved,0.944,0.959,36,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00048,2024-05-20,US,English,Shopping Ad,Retail,small_business,App Installs,Financial Product Claim,medium,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,approved_limited,approved,0.922,0.845,177,True,reversed,BPO_B,new,claim_substantiation_issue,False,True,False,False,True,False,False,add_to_model_feedback,0,1,1,False,True
AD00049,2024-11-17,IT,Italian,Search Ad,Travel,small_business,Brand Awareness,Financial Product Claim,high,Refinance your loan and lower your monthly payment,Check local rules before applying,escalated,rejected,escalated,0.832,0.411,261,False,not_submitted,BPO_E,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,2,2,3,False,False
AD00050,2024-01-12,UK,English,App Install Ad,Finance,small_business,Retargeting,Brand Safety Risk,high,Consumer comparison tool for popular categories,Product information updated regularly,approved,approved,approved,0.949,0.958,255,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00051,2024-02-07,UK,English,Display Ad,Beauty,mid_market,Brand Awareness,Restricted Product,medium,Premium vaping accessories for adult users,Individual results may vary,approved,approved,approved,0.974,0.899,152,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00052,2024-03-01,FR,French,Video Ad,Health and Wellness,small_business,Lead Generation,Brand Safety Risk,medium,Compare brand prices before you buy,Offer valid while stocks last,approved_limited,approved_limited,approved_limited,0.878,0.96,120,True,upheld,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00053,2024-07-14,BR,Portuguese,Social Feed Ad,Health and Wellness,mid_market,Sales,Safe Ad,low,New styles added daily — shop now,Age verification required,approved,approved,escalated,0.361,0.963,28,False,not_submitted,BPO_C,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD00054,2024-01-28,IT,Italian,Search Ad,Retail,mid_market,Retargeting,Misleading Claim,medium,Double your savings with our exclusive method,Subject to regulatory approval,rejected,rejected,escalated,0.888,0.896,86,True,upheld,BPO_E,experienced,market_nuance_error,False,True,False,False,True,False,False,add_to_model_feedback,2,3,3,False,False
AD00055,2024-03-23,IT,Italian,Shopping Ad,Health and Wellness,strategic_account,Sales,Safe Ad,low,Explore thousands of products at unbeatable prices,Free trial followed by monthly subscription,approved,approved,approved,0.962,0.892,26,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00056,2024-03-29,BR,Portuguese,Display Ad,Health and Wellness,mid_market,Retargeting,Misleading Claim,medium,No other solution comes close to our results,Pricing subject to change,rejected,rejected,rejected,0.891,0.936,122,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00057,2024-03-29,DE,German,Social Feed Ad,Mobile Apps,small_business,Conversions,Safe Ad,low,New meal delivery plan for busy professionals,Not available in all regions,approved_limited,approved,escalated,0.441,0.547,43,False,not_submitted,BPO_E,new,over_rejection,False,False,False,True,False,True,False,route_to_human_review,2,1,0,True,False
AD00058,2024-01-21,ES,Spanish,Social Feed Ad,Mobile Apps,small_business,Lead Generation,Safe Ad,medium,Premium beauty bundle with customer reviews,Professional advice recommended,approved_limited,escalated,approved_limited,0.937,0.568,35,False,not_submitted,BPO_B,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,2,False,False
AD00059,2024-03-22,UK,English,Social Feed Ad,Finance,mid_market,Conversions,Brand Safety Risk,medium,Switch and save — see how alternatives stack up,Standard delivery times apply,escalated,escalated,escalated,0.965,0.903,46,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00060,2024-04-11,FR,French,Search Ad,Education,small_business,Lead Generation,Safe Ad,low,Book your summer getaway with flexible cancellation,Promotional pricing for new customers only,approved,approved,escalated,0.383,0.889,27,False,not_submitted,BPO_A,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD00061,2024-10-03,IT,Italian,Search Ad,Travel,small_business,Sales,Safe Ad,medium,Get 20% off your first skincare order today,Clinically inspired formula,approved_limited,approved_limited,approved_limited,0.96,0.989,45,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00062,2024-08-02,DE,German,Search Ad,Travel,small_business,Brand Awareness,Misleading Claim,medium,The only product that truly delivers on its promise,Rates may vary by eligibility,escalated,escalated,escalated,0.921,0.963,146,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00063,2024-04-24,ES,Spanish,Display Ad,E-commerce,enterprise,Traffic,Misleading Claim,low,Scientifically proven to work in just one week,Results depend on individual use,approved_limited,approved_limited,approved,0.381,0.959,61,False,not_submitted,BPO_E,intermediate,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,0,1,1,False,False
AD00064,2024-02-21,BR,Portuguese,Search Ad,Food and Beverage,strategic_account,Sales,Misleading Claim,high,Double your savings with our exclusive method,No purchase required,rejected,rejected,rejected,0.913,0.93,210,True,upheld,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00065,2024-07-06,ES,Spanish,App Install Ad,Mobile Apps,small_business,Conversions,Adult or Suggestive Content,high,Romance and mature content — 18 plus only,Terms and conditions apply,rejected,rejected,rejected,0.99,0.957,216,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00066,2024-04-25,ES,Spanish,Video Ad,Food and Beverage,small_business,Conversions,Brand Safety Risk,high,Budget alternatives for expensive branded goods,Limited availability,escalated,escalated,approved_limited,0.909,0.952,303,False,not_submitted,BPO_D,intermediate,market_nuance_error,False,True,False,False,True,False,False,add_to_model_feedback,1,2,2,False,False
AD00067,2024-09-11,ES,Spanish,Social Feed Ad,Retail,mid_market,App Installs,Adult or Suggestive Content,medium,Mature content platform — verified adult access,Customer testimonials shown,approved_limited,approved_limited,approved_limited,0.967,0.861,115,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00068,2024-03-22,US,English,Display Ad,Health and Wellness,small_business,Conversions,Brand Safety Risk,high,Side-by-side comparisons of competing products,Subscription renews monthly,approved_limited,approved,approved_limited,0.937,0.54,341,False,not_submitted,BPO_C,new,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,0,False,False
AD00069,2024-12-29,FR,French,Display Ad,Education,strategic_account,Retargeting,Adult or Suggestive Content,medium,Lifestyle subscription — for consenting adults only,Check local rules before applying,approved_limited,approved_limited,approved_limited,0.87,0.786,79,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00070,2024-02-04,DE,German,Video Ad,Retail,mid_market,Conversions,Misleading Claim,medium,Stop wasting money — our solution pays for itself,Product information updated regularly,approved_limited,approved_limited,approved_limited,0.91,0.968,167,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00071,2024-10-31,UK,English,Display Ad,Travel,mid_market,Conversions,Health Claim,high,Natural supplement to support your daily routine,Individual results may vary,approved,approved,escalated,0.458,0.887,160,False,not_submitted,BPO_C,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD00072,2024-09-03,US,English,Display Ad,Retail,strategic_account,Sales,Safe Ad,low,New meal delivery plan for busy professionals,Offer valid while stocks last,approved,approved,approved,0.954,0.804,32,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00073,2024-09-02,BR,Portuguese,Video Ad,E-commerce,mid_market,Lead Generation,Restricted Product,high,Online pharmacy with prescription delivery service,Age verification required,rejected,rejected,rejected,0.922,0.923,215,True,upheld,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00074,2024-11-21,UK,English,Video Ad,Mobile Apps,small_business,Sales,Restricted Product,medium,Age-verified adult subscription platform,Subject to regulatory approval,rejected,rejected,rejected,0.924,0.947,85,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00075,2024-06-13,FR,French,App Install Ad,Retail,mid_market,Brand Awareness,Financial Product Claim,medium,Fast approval personal loans — apply today,Free trial followed by monthly subscription,approved_limited,approved_limited,approved_limited,0.94,0.94,153,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00076,2024-09-18,US,English,Display Ad,Education,mid_market,Conversions,Safe Ad,low,Get 20% off your first skincare order today,Pricing subject to change,approved_limited,approved_limited,approved_limited,0.882,0.989,20,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00077,2024-07-11,US,English,Video Ad,Food and Beverage,mid_market,Brand Awareness,Health Claim,high,Premium vitamins developed with nutrition experts,Not available in all regions,approved_limited,approved_limited,approved_limited,0.931,0.898,188,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00078,2024-09-06,IT,Italian,Search Ad,Travel,strategic_account,App Installs,Brand Safety Risk,high,Side-by-side comparisons of competing products,Professional advice recommended,approved_limited,approved_limited,rejected,0.931,0.956,76,False,not_submitted,BPO_B,intermediate,over_rejection,False,True,False,True,False,False,False,add_to_model_feedback,3,1,1,False,False
AD00079,2024-07-20,ES,Spanish,Display Ad,E-commerce,small_business,Traffic,Misleading Claim,high,Trusted by experts — see why customers switch,Standard delivery times apply,escalated,escalated,approved_limited,0.596,0.903,162,False,not_submitted,BPO_E,intermediate,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,1,2,2,False,False
AD00080,2024-12-24,BR,Portuguese,Social Feed Ad,Travel,mid_market,Sales,Misleading Claim,high,Stop wasting money — our solution pays for itself,Promotional pricing for new customers only,approved,approved,approved,0.945,0.908,180,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00081,2024-04-28,IT,Italian,Search Ad,Retail,small_business,Retargeting,Landing Page Issue,medium,Best deal online — click here to learn more,Clinically inspired formula,approved,approved,approved,0.958,0.829,54,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00082,2024-09-23,US,English,Social Feed Ad,Beauty,small_business,Retargeting,Brand Safety Risk,low,Compare brand prices before you buy,Rates may vary by eligibility,rejected,escalated,rejected,0.984,0.544,54,False,not_submitted,BPO_A,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,3,3,2,False,False
AD00083,2024-03-01,BR,Portuguese,Video Ad,Finance,mid_market,Traffic,Landing Page Issue,medium,Limited time pricing — available on our site only,Results depend on individual use,approved_limited,approved_limited,approved_limited,0.957,0.903,90,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00084,2024-01-18,UK,English,Search Ad,Gaming,enterprise,Conversions,Health Claim,medium,Plant-based ingredients for a balanced lifestyle,No purchase required,approved,approved,approved,0.96,0.936,180,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00085,2024-09-13,FR,French,App Install Ad,E-commerce,mid_market,Sales,Safe Ad,high,Explore thousands of products at unbeatable prices,Terms and conditions apply,approved_limited,approved_limited,approved_limited,0.936,0.865,95,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00086,2024-03-20,FR,French,Video Ad,Education,small_business,Lead Generation,Scam or Suspicious Offer,high,You are the lucky visitor — collect your voucher,Limited availability,rejected,approved,rejected,0.9,0.394,186,False,not_submitted,BPO_D,experienced,none,True,False,False,False,False,False,False,flag_for_calibration,3,3,0,False,False
AD00087,2024-01-06,IT,Italian,Shopping Ad,E-commerce,small_business,Brand Awareness,Safe Ad,low,New meal delivery plan for busy professionals,Customer testimonials shown,approved,approved,approved,0.937,0.969,31,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00088,2024-08-20,DE,German,Video Ad,Education,mid_market,Lead Generation,Financial Product Claim,medium,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,approved_limited,approved,0.611,0.964,109,True,upheld,BPO_B,intermediate,claim_substantiation_issue,False,True,False,False,True,False,False,no_action_required,0,1,1,False,False
