ad_id,created_date,market,language,ad_format,industry_vertical,advertiser_tier,campaign_objective,policy_category,risk_level,ad_text,landing_page_claim,golden_label,human_label,llm_label,llm_confidence_score,human_confidence_score,review_time_seconds,appeal_submitted,appeal_result,bpo_team,reviewer_tenure,error_type,is_llm_correct,is_human_correct,is_human_ai_agreement,is_advertiser_over_rejection,is_policy_risk_miss,is_low_confidence_case,is_high_risk_approval_miss,recommended_action
AD00055,2024-03-23,IT,Italian,Shopping Ad,Health and Wellness,strategic_account,Sales,Safe Ad,low,Explore thousands of products at unbeatable prices,Free trial followed by monthly subscription,approved,approved,approved,0.962,0.892,26,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00056,2024-03-29,BR,Portuguese,Display Ad,Health and Wellness,mid_market,Retargeting,Misleading Claim,medium,No other solution comes close to our results,Pricing subject to change,rejected,rejected,rejected,0.891,0.936,122,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00057,2024-03-29,DE,German,Social Feed Ad,Mobile Apps,small_business,Conversions,Safe Ad,low,New meal delivery plan for busy professionals,Not available in all regions,approved_limited,approved,escalated,0.441,0.547,43,False,not_submitted,BPO_E,new,over_rejection,False,False,False,True,False,True,False,route_to_human_review
AD00058,2024-01-21,ES,Spanish,Social Feed Ad,Mobile Apps,small_business,Lead Generation,Safe Ad,medium,Premium beauty bundle with customer reviews,Professional advice recommended,approved_limited,escalated,approved_limited,0.937,0.568,35,False,not_submitted,BPO_B,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00059,2024-03-22,UK,English,Social Feed Ad,Finance,mid_market,Conversions,Brand Safety Risk,medium,Switch and save — see how alternatives stack up,Standard delivery times apply,escalated,escalated,escalated,0.965,0.903,46,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00060,2024-04-11,FR,French,Search Ad,Education,small_business,Lead Generation,Safe Ad,low,Book your summer getaway with flexible cancellation,Promotional pricing for new customers only,approved,approved,escalated,0.383,0.889,27,False,not_submitted,BPO_A,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review
AD00061,2024-10-03,IT,Italian,Search Ad,Travel,small_business,Sales,Safe Ad,medium,Get 20% off your first skincare order today,Clinically inspired formula,approved_limited,approved_limited,approved_limited,0.96,0.989,45,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00062,2024-08-02,DE,German,Search Ad,Travel,small_business,Brand Awareness,Misleading Claim,medium,The only product that truly delivers on its promise,Rates may vary by eligibility,escalated,escalated,escalated,0.921,0.963,146,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00063,2024-04-24,ES,Spanish,Display Ad,E-commerce,enterprise,Traffic,Misleading Claim,low,Scientifically proven to work in just one week,Results depend on individual use,approved_limited,approved_limited,approved,0.381,0.959,61,False,not_submitted,BPO_E,intermediate,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review
AD00064,2024-02-21,BR,Portuguese,Search Ad,Food and Beverage,strategic_account,Sales,Misleading Claim,high,Double your savings with our exclusive method,No purchase required,rejected,rejected,rejected,0.913,0.93,210,True,upheld,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00065,2024-07-06,ES,Spanish,App Install Ad,Mobile Apps,small_business,Conversions,Adult or Suggestive Content,high,Romance and mature content — 18 plus only,Terms and conditions apply,rejected,rejected,rejected,0.99,0.957,216,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00066,2024-04-25,ES,Spanish,Video Ad,Food and Beverage,small_business,Conversions,Brand Safety Risk,high,Budget alternatives for expensive branded goods,Limited availability,escalated,escalated,approved_limited,0.909,0.952,303,False,not_submitted,BPO_D,intermediate,market_nuance_error,False,True,False,False,True,False,False,add_to_model_feedback
AD00067,2024-09-11,ES,Spanish,Social Feed Ad,Retail,mid_market,App Installs,Adult or Suggestive Content,medium,Mature content platform — verified adult access,Customer testimonials shown,approved_limited,approved_limited,approved_limited,0.967,0.861,115,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00068,2024-03-22,US,English,Display Ad,Health and Wellness,small_business,Conversions,Brand Safety Risk,high,Side-by-side comparisons of competing products,Subscription renews monthly,approved_limited,approved,approved_limited,0.937,0.54,341,False,not_submitted,BPO_C,new,none,True,False,False,False,False,False,False,flag_for_calibration
AD00069,2024-12-29,FR,French,Display Ad,Education,strategic_account,Retargeting,Adult or Suggestive Content,medium,Lifestyle subscription — for consenting adults only,Check local rules before applying,approved_limited,approved_limited,approved_limited,0.87,0.786,79,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00070,2024-02-04,DE,German,Video Ad,Retail,mid_market,Conversions,Misleading Claim,medium,Stop wasting money — our solution pays for itself,Product information updated regularly,approved_limited,approved_limited,approved_limited,0.91,0.968,167,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required
AD00071,2024-10-31,UK,English,Display Ad,Travel,mid_market,Conversions,Health Claim,high,Natural supplement to support your daily routine,Individual results may vary,approved,approved,escalated,0.458,0.887,160,False,not_submitted,BPO_C,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review
AD00072,2024-09-03,US,English,Display Ad,Retail,strategic_account,Sales,Safe Ad,low,New meal delivery plan for busy professionals,Offer valid while stocks last,approved,approved,approved,0.954,0.804,32,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00073,2024-09-02,BR,Portuguese,Video Ad,E-commerce,mid_market,Lead Generation,Restricted Product,high,Online pharmacy with prescription delivery service,Age verification required,rejected,rejected,rejected,0.922,0.923,215,True,upheld,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00074,2024-11-21,UK,English,Video Ad,Mobile Apps,small_business,Sales,Restricted Product,medium,Age-verified adult subscription platform,Subject to regulatory approval,rejected,rejected,rejected,0.924,0.947,85,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00075,2024-06-13,FR,French,App Install Ad,Retail,mid_market,Brand Awareness,Financial Product Claim,medium,Fast approval personal loans — apply today,Free trial followed by monthly subscription,approved_limited,approved_limited,approved_limited,0.94,0.94,153,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00076,2024-09-18,US,English,Display Ad,Education,mid_market,Conversions,Safe Ad,low,Get 20% off your first skincare order today,Pricing subject to change,approved_limited,approved_limited,approved_limited,0.882,0.989,20,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00077,2024-07-11,US,English,Video Ad,Food and Beverage,mid_market,Brand Awareness,Health Claim,high,Premium vitamins developed with nutrition experts,Not available in all regions,approved_limited,approved_limited,approved_limited,0.931,0.898,188,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00078,2024-09-06,IT,Italian,Search Ad,Travel,strategic_account,App Installs,Brand Safety Risk,high,Side-by-side comparisons of competing products,Professional advice recommended,approved_limited,approved_limited,rejected,0.931,0.956,76,False,not_submitted,BPO_B,intermediate,over_rejection,False,True,False,True,False,False,False,add_to_model_feedback
AD00079,2024-07-20,ES,Spanish,Display Ad,E-commerce,small_business,Traffic,Misleading Claim,high,Trusted by experts — see why customers switch,Standard delivery times apply,escalated,escalated,approved_limited,0.596,0.903,162,False,not_submitted,BPO_E,intermediate,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review
AD00080,2024-12-24,BR,Portuguese,Social Feed Ad,Travel,mid_market,Sales,Misleading Claim,high,Stop wasting money — our solution pays for itself,Promotional pricing for new customers only,approved,approved,approved,0.945,0.908,180,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00081,2024-04-28,IT,Italian,Search Ad,Retail,small_business,Retargeting,Landing Page Issue,medium,Best deal online — click here to learn more,Clinically inspired formula,approved,approved,approved,0.958,0.829,54,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00082,2024-09-23,US,English,Social Feed Ad,Beauty,small_business,Retargeting,Brand Safety Risk,low,Compare brand prices before you buy,Rates may vary by eligibility,rejected,escalated,rejected,0.984,0.544,54,False,not_submitted,BPO_A,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00083,2024-03-01,BR,Portuguese,Video Ad,Finance,mid_market,Traffic,Landing Page Issue,medium,Limited time pricing — available on our site only,Results depend on individual use,approved_limited,approved_limited,approved_limited,0.957,0.903,90,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00084,2024-01-18,UK,English,Search Ad,Gaming,enterprise,Conversions,Health Claim,medium,Plant-based ingredients for a balanced lifestyle,No purchase required,approved,approved,approved,0.96,0.936,180,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required
AD00085,2024-09-13,FR,French,App Install Ad,E-commerce,mid_market,Sales,Safe Ad,high,Explore thousands of products at unbeatable prices,Terms and conditions apply,approved_limited,approved_limited,approved_limited,0.936,0.865,95,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00086,2024-03-20,FR,French,Video Ad,Education,small_business,Lead Generation,Scam or Suspicious Offer,high,You are the lucky visitor — collect your voucher,Limited availability,rejected,approved,rejected,0.9,0.394,186,False,not_submitted,BPO_D,experienced,none,True,False,False,False,False,False,False,flag_for_calibration
AD00087,2024-01-06,IT,Italian,Shopping Ad,E-commerce,small_business,Brand Awareness,Safe Ad,low,New meal delivery plan for busy professionals,Customer testimonials shown,approved,approved,approved,0.937,0.969,31,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required
AD00088,2024-08-20,DE,German,Video Ad,Education,mid_market,Lead Generation,Financial Product Claim,medium,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,approved_limited,approved,0.611,0.964,109,True,upheld,BPO_B,intermediate,claim_substantiation_issue,False,True,False,False,True,False,False,no_action_required
AD00089,2024-08-11,UK,English,App Install Ad,Health and Wellness,mid_market,Conversions,Political or Sensitive Content,high,Sign the petition for transparent public spending,Check local rules before applying,rejected,rejected,approved,0.258,0.954,269,False,not_submitted,BPO_C,intermediate,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review
AD00090,2024-08-21,DE,German,Display Ad,E-commerce,enterprise,Brand Awareness,Restricted Product,high,Adult entertainment content — 18 years and over,Product information updated regularly,approved,approved,approved,0.826,0.826,328,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required
AD00091,2024-06-14,UK,English,Video Ad,Education,mid_market,Conversions,Landing Page Issue,medium,Best deal online — click here to learn more,Individual results may vary,approved_limited,approved_limited,approved_limited,0.936,0.972,84,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00092,2024-10-30,IT,Italian,Shopping Ad,Gaming,enterprise,Traffic,Landing Page Issue,medium,Exclusive offer — see our website for full details,Offer valid while stocks last,approved_limited,approved_limited,approved_limited,0.862,0.945,83,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00093,2024-01-05,DE,German,Display Ad,Food and Beverage,enterprise,App Installs,Adult or Suggestive Content,high,Lingerie and intimate wear — discreet delivery,Age verification required,rejected,rejected,rejected,0.957,0.83,231,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required
AD00094,2024-02-27,US,English,Display Ad,Education,small_business,Conversions,Misleading Claim,medium,Double your savings with our exclusive method,Subject to regulatory approval,rejected,rejected,rejected,0.941,0.949,135,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00095,2024-05-17,US,English,App Install Ad,E-commerce,mid_market,Conversions,Financial Product Claim,medium,Fast approval personal loans — apply today,Free trial followed by monthly subscription,approved,approved,approved_limited,0.884,0.956,99,False,not_submitted,BPO_C,experienced,over_rejection,False,True,False,True,False,False,False,add_to_model_feedback
